Element, Nterminals, Nconductors, P_1, Q_1, ...
"Line.mdv201_107997elb", 2, 1,     20.512,    8.39169,    -20.512,   -8.39169
"Line.mdv201_hn_2_949_c8180", 2, 1,    20.3575,    7.91286,   -20.3574,   -7.91564
"Line.mdv201_c_1p024_a8100", 2, 1,    132.059,    53.2211,   -132.031,   -53.3729
"Line.mdv201_hn_2_166_c33824", 2, 1,    34.3841,     13.838,   -34.3813,   -13.8451
"Line.mdv201_hn_2_827_a14873", 2, 1,    18.2788,    7.71299,   -18.2785,   -7.71836
"Line.hn_2p017_sw", 2, 1,    9.86119,    3.79982,   -9.86119,   -3.79984
"Line.mdv201_62249elb", 2, 1,    9.86115,    3.79983,   -9.86115,   -3.79983
"Line.mdv201_hn_2_397_b63634", 2, 1,    107.122,    41.4044,   -107.108,   -41.4011
"Line.mdv201_c_1p037_a1160467", 2, 1,    124.353,    50.2051,   -124.345,   -50.2563
"Line.mdv201_hn_2_280_a8185", 2, 1,    7.09156,    2.95286,   -7.09149,   -2.95823
"Line.mdv201_hn_2_794_abc791", 2, 3,    2355.16,     1013.6,    2572.57,    1036.59,    2317.27,    979.781,   -2353.86,   -1010.72,    -2571.5,   -1033.08,   -2316.97,   -976.907
"Line.mdv201_hn_2_677_c62303", 2, 1,    35.7924,    14.0304,   -35.7912,   -14.0374
"Line.mdv201_100478fuse", 2, 1,    5.15354,    2.20204,   -5.15354,    -2.2024
"Line.mdv201_hn_2_115_abc58446", 2, 3,    38.2044,    15.9493,    21.6193,    8.17401,    150.004,    60.5584,   -38.2055,   -15.9562,   -21.6186,    -8.1829,   -149.987,   -60.5506
"Line.mdv201_hn_2_895_b52515", 2, 1,    87.5184,    32.3903,   -87.5139,   -32.3902
"Line.mdv201_98795fuse", 2, 3,    2.59762,     1.1182,    2.55695,    1.01668,    2.64208,    1.10301,   -2.59768,   -1.11867,   -2.55695,   -1.01726,   -2.64201,   -1.10349
"Line.mdv201_hn_2_246_b39602", 2, 1,    40.9467,    15.2715,   -40.9448,   -15.2789
"Line.mdv201_da_8_149_abc56778", 2, 3,    47.9068,    19.6619,    232.161,    89.0234,     247.56,    97.1131,   -47.9089,   -19.6846,    -232.09,   -88.9919,   -247.538,   -97.0389
"Line.mdv201_hn_2_083_abc62239", 2, 3,     566.91,    234.954,    328.358,    126.247,    402.406,    158.422,   -566.835,   -234.828,   -328.351,   -126.229,   -402.361,   -158.387
"Line.mdv201_da_8_145_abc46393", 2, 3, -0.00116466, -0.0138154, 5.37947E-006, -0.0154906, 0.00115928, -0.0138081, -8.20463E-011, -1.64544E-010, 1.07839E-010, 1.37664E-010, 1.74188E-011, 2.07169E-010
